lon,lat,parada,denominacion
-16.332223,28.559746,1333,Cuesta Sabanda (La Punta) (Bis)
-16.338598,28.555416,1334,Bajamar (H Neptuno) (Bis)
-16.341583,28.555678,1335,Bajamar  N 154(artesania Mario) (Bis)
-16.344873,28.553836,1336,Bajamar (Bis)
-16.348856,28.550814,1337,Bajamar (Los Tejaditos) (Bis)
-16.350914,28.545342,1338,Urb Porlier (Bis)
-16.352954,28.544684,1339,Club Nautico (Bis)
-16.355931,28.542998,1340,Finca Jover (Bis)
-16.358689,28.536007,1341,Tejina (El Puente) (Bis)
-16.360955,28.535299,1342,Tejina (Plaza La Iglesia) (Bis)
-16.361863,28.53351,1343,Tejina (El Ramal)
-16.359517,28.532108,1344,Ctratejina (El Cementerio) (Bis)
-16.359465,28.529116,1345,Ctratejina (Pata Rajada) (Bis)
-16.356198,28.529159,1346,Ctratejina (La Asomada) (Bis)
-16.352128,28.526409,1347,Ctratejina (Cueva Jurada) (Bis)
-16.350836,28.52411,1348,Tegueste (Urbanizacin Tamarco) (Bis)
-16.349361,28.523839,1349,Ctratejina (Entrada Al Socorro) (Bis)
-16.345861,28.523007,1350,Ctratejina (Las Toscas) (Bis)
-16.342287,28.522466,1351,Ctra Tejina (Bar Hortensia) (Bis)
-16.336747,28.521206,1352,Ctra Tejina (Cruce La Iglesia) Tegueste (Bis)
-16.331403,28.519107,1353,Ctratejina (Campo Futbol Tegueste) (Bis)
-16.328193,28.519286,1354,Ctra Tejina (Inst Nuevas Tecnologías) (Bis)
-16.322446,28.517823,1355,Pedro Alvarez (Bis)
-16.314597,28.514488,1356,Ctratejina (El Palomar) (Bis)
-16.308989,28.513865,1357,Entrada P Alvarez (Bis)
-16.312401,28.502984,1361,Avda Republica Argentina Km 28oo (Bis)
-16.313695,28.495703,1363,Puente La Graciliana (C/ Concep Salazar N9)
-16.314013,28.492914,1364,Plaza Del Cristo
-16.314808,28.49062,1365,C/ Tabares De Cala N 37
-16.315492,28.488568,1366,C/ Tabares De Cala (Esq Deán Palahi)
-16.313401,28.480949,1369,Avenida Calvo Sotelo (Cruz De Piedra) (La Laguna)
-16.313124,28.478077,1370,C/ Lora Tamayo (Instituto)
-16.308019,28.470572,1371,Pasarela Campus De Guajara (Bis)
-16.295646,28.458248,1372,Tf-5 Majuelos Pabellón
-16.292212,28.454836,1373,Tf-5 Hu De Canarias B
-16.289678,28.446789,1374,Tf-5 Nuevo Obrero B
-16.283879,28.44757,1375,Tf-5 Hu Candelaria
-16.277014,28.450645,1376,Enlace Cementerio S/c (Tf-5)
-16.274587,28.45198,1377,Chamberí Tf-5 (Bis)
-16.260696,28.456642,1378,Avda Manuel Hermoso Rojas (Refinería)
-16.282417,28.460275,1381,S Cruz-laguna Ent Ofra
-16.282539,28.465183,1382,S Cruz-laguna 445 Vb
-16.286182,28.468022,1383,Menceyes 379 Tranvía
-16.289814,28.469031,1384,Menceyes 315 Tabares
-16.293716,28.469559,1385,Menceyes 255 Higuerita
-16.296706,28.470346,1386,Menceyes 197 Charcón
-16.299912,28.472278,1387,Menceyes C Salud F Esp
-16.303152,28.473529,1388,Menceyes Chorro Gracia
-16.307398,28.47549,1389,Menceyes Guanche
-16.309661,28.477204,1390,Menceyes 43
-16.311158,28.478291,1391,Menceyes 27
-16.313592,28.480636,1392,Avda De Angel Guimera Jorge (Cruz De Piedra)
-16.31178,28.478584,1401,Menceyes 22
-16.309642,28.476903,1402,Menceyes 52
-16.307175,28.475005,1403,Menceyes Iac Guanche
-16.302713,28.473173,1404,Menceyes Chorro Grac B
-16.300073,28.472048,1405,Menceyes Finca España
-16.296908,28.470193,1406,Menceyes 172 Charcón
-16.293176,28.469346,1407,Menceyes 212 Higuerita
-16.288889,28.468803,1408,Menceyes 286 Tabares
-16.285919,28.467853,1409,Menceyes 340 Tranvía
-16.283189,28.466577,1410,S Cruz-laguna 370 Vb
